data_hora,total,livre,percentual,cache
13-03-2026 10:33:02,12326899712,176467968,68.9,4688834560
13-03-2026 10:35:06,12326899712,1277194240,65.8,4014206976
13-03-2026 10:35:07,12326899712,1268572160,65.9,4016615424
13-03-2026 10:35:08,12326899712,1288454144,65.8,4005498880
13-03-2026 10:35:09,12326899712,1294618624,65.7,3998531584
13-03-2026 10:35:10,12326899712,1294815232,65.7,3998392320
13-03-2026 10:36:13,12326899712,1218756608,66.2,4016140288
13-03-2026 10:36:14,12326899712,1219571712,66.2,4016205824
13-03-2026 10:36:15,12326899712,1220620288,66.2,4015075328
13-03-2026 10:36:16,12326899712,1234554880,66.1,4003528704
